id,circ_mv,up_limit
600866.SH,401287.4071,5.97
600867.SH,2188835.7183,12.1
600868.SH,529583.4814,3.07
600869.SH,1211766.5993,6.01
600874.SH,753015.868,6.73
600876.SH,633711.761,18.23
600877.SH,1264033.8287,15.08
600879.SH,2126470.1441,8.6
600880.SH,726865.0664,7.32
600881.SH,721258.8165,2.44
600882.SH,1296007.7806,27.84
600883.SH,178010.352,8.29
600888.SH,1141813.0275,9.43
600889.SH,168519.1646,5.06
600892.SH,290846.1587,5.72
600894.SH,629481.1271,8.05
600895.SH,2313742.1877,16.43
600897.SH,579836.07,21.42
600903.SH,902642.2148,8.72
600906.SH,1030276.704,8.64
600908.SH,1021023.8951,6.34
600909.SH,2391110.3688,5.6
600916.SH,1055640.6,14.12
600917.SH,1152047.3429,8.12
600918.SH,1967238.4226,8.29
600925.SH,435377.7778,6.95
600927.SH,936344.4571,19.53
600929.SH,852463.4426,8.81
600933.SH,1726780.8385,21.51
600935.SH,738171.0872,4.38
600936.SH,731909.4927,4.82
600939.SH,737893.8115,4.27
600955.SH,699513.3,21.09
600956.SH,265818.3827,10.11
600960.SH,335531.9779,3.88
600961.SH,462053.1327,9.64
600962.SH,298919.4,12.54
600963.SH,1186115.7255,7.39
600965.SH,575546.7714,7.73
600966.SH,855580.3443,7.04
600967.SH,1642322.1261,10.69
600969.SH,271247.0048,8.06
600970.SH,2260150.1157,14.27
600971.SH,1149604.6789,10.54
600975.SH,685309.3632,11.55
600976.SH,990585.6935,71.5
600979.SH,404181.2111,3.61
600980.SH,232089.6721,16.37
600981.SH,726548.3542,3.56
600982.SH,456167.8391,4.53
600983.SH,571763.494,8.21
600984.SH,617208.5672,5.4
600987.SH,775530.396,8.8
600990.SH,632179.8354,33.61
600992.SH,424005.7,19.03
600993.SH,1153653.1099,29.49
600995.SH,647446.2192,14.88
600996.SH,1354868.589,12.34
600997.SH,1130513.4939,7.83
601000.SH,2340741.8025,4.35
601001.SH,1725584.7,11.34
601002.SH,410161.4465,5.29
601003.SH,1140442.974,4.9
601007.SH,340080.0,9.59
601008.SH,600468.7949,5.32
601010.SH,475896.194,2.87
601015.SH,927293.9281,4.99
601019.SH,2416630.2,12.74
601020.SH,749586.5112,14.66
601022.SH,144996.5741,12.19
601028.SH,910658.9589,12.79
601038.SH,726945.84,13.46
601059.SH,496503.3,16.84
601065.SH,182977.092,12.97
601068.SH,1579267.4415,6.79
601069.SH,855420.0,14.8
601086.SH,318348.0,5.26
601089.SH,210960.0,19.34
601098.SH,2482072.0,15.2
601099.SH,1874487.0018,3.03
601101.SH,930238.6602,7.11
601107.SH,940791.9,4.79
601113.SH,401911.4103,4.0
601116.SH,636949.9792,12.79
601118.SH,2058404.7704,5.29
601121.SH,182200.0,10.02
601126.SH,1099408.544,14.87
601128.SH,1979874.1638,8.24
601133.SH,189268.9192,16.51
601136.SH,376107.3088,15.14
601137.SH,1048018.5713,15.57
601139.SH,2053985.5727,7.85
601156.SH,1164090.9873,15.97
601163.SH,1168800.0,16.07
601177.SH,434865.22,11.96
601187.SH,699244.8926,6.46
601188.SH,431608.1713,3.61
601199.SH,718241.5043,8.45
601200.SH,1111761.8161,10.9
601208.SH,1106083.6619,13.7
601212.SH,2214027.5788,3.29
601218.SH,381346.6772,4.3
601222.SH,1623413.2949,8.67
601226.SH,807345.0,7.69
601228.SH,2220546.0649,3.74
601279.SH,96156.571,5.41
601311.SH,1108623.0815,10.4
601330.SH,816988.0972,9.09
601333.SH,1820020.314,3.54
601339.SH,894000.0,6.56
601366.SH,473112.6222,6.18
601368.SH,475039.5154,5.92
601369.SH,1553596.0598,10.27
601375.SH,1375560.3603,4.39
601388.SH,622404.8064,3.39
