id,circ_mv,up_limit
002516.SZ,444087.5332,5.13
002520.SZ,341428.2406,6.01
002521.SZ,230821.4651,6.3
002522.SZ,451599.1815,5.8
002523.SZ,395641.0425,3.11
002524.SZ,351418.9458,7.59
002526.SZ,413813.1182,2.59
002527.SZ,382584.1448,8.02
002528.SZ,912495.0269,9.59
002529.SZ,339560.0,14.37
002530.SZ,537981.8725,8.97
002532.SZ,1617276.4552,7.7
002533.SZ,490253.1862,8.6
002534.SZ,1185527.9701,17.9
002536.SZ,491852.2575,11.48
002539.SZ,715835.5177,11.45
002540.SZ,488360.5192,6.14
002541.SZ,1515214.5945,33.62
002542.SZ,450126.113,3.11
002543.SZ,519443.1416,9.21
002544.SZ,1412614.7413,23.31
002545.SZ,907521.4575,8.83
002547.SZ,465891.5516,4.64
002549.SZ,718784.0618,12.74
002550.SZ,520110.4529,6.2
002551.SZ,249014.6539,4.49
002552.SZ,383814.1587,19.83
002553.SZ,238511.463,11.2
002554.SZ,361399.2778,4.58
002559.SZ,381980.4887,8.69
002560.SZ,351632.1796,8.54
002561.SZ,375578.901,9.89
002562.SZ,325554.8816,5.12
002563.SZ,1201240.0256,7.04
002565.SZ,383194.1176,3.99
002566.SZ,193891.6542,9.22
002567.SZ,856389.6847,7.78
002570.SZ,478436.4374,4.87
002571.SZ,175105.7324,6.46
002572.SZ,1144692.5737,19.71
002573.SZ,628072.2916,6.4
002574.SZ,333696.0,6.95
002575.SZ,314376.48,5.87
002576.SZ,269568.1137,18.32
002577.SZ,440986.535,17.15
002578.SZ,322935.9604,4.13
002579.SZ,513952.0432,9.71
002580.SZ,289592.8068,10.13
002582.SZ,266511.2117,8.62
002583.SZ,686807.9127,6.2
002584.SZ,204382.0263,5.53
002587.SZ,318600.5772,6.89
002588.SZ,447774.1364,6.84
002589.SZ,429665.7399,4.08
002591.SZ,132174.7823,6.71
002593.SZ,205368.7622,3.96
002595.SZ,1578284.8124,32.55
002596.SZ,338450.0058,3.52
002597.SZ,1474813.3965,29.12
002598.SZ,300587.5415,11.79
002605.SZ,1019656.0666,34.21
002606.SZ,384433.6403,10.07
002609.SZ,492847.7303,11.88
002612.SZ,707976.9065,28.15
002613.SZ,269925.857,5.12
002614.SZ,339018.6231,8.46
002616.SZ,240280.5681,5.62
002617.SZ,1378445.8462,8.1
002620.SZ,174340.507,6.09
002621.SZ,335344.5316,4.6
002622.SZ,276351.8573,3.62
002623.SZ,535324.3569,29.65
002626.SZ,1224568.3002,22.09
002627.SZ,370873.4074,5.85
002628.SZ,268683.8235,3.93
002629.SZ,127500.079,4.07
002630.SZ,252037.5231,2.7
002631.SZ,349080.7382,5.86
002632.SZ,403080.2273,7.54
002633.SZ,152108.2875,11.2
002634.SZ,304424.2566,9.04
002635.SZ,547131.1126,14.62
002636.SZ,621149.1037,9.45
002637.SZ,420673.6155,11.72
002638.SZ,319583.5738,3.18
002639.SZ,507456.6167,8.58
002640.SZ,599655.6818,4.75
002641.SZ,583069.1864,5.65
002642.SZ,437901.1916,7.96
002643.SZ,1547103.9537,19.0
002644.SZ,695004.177,14.97
002645.SZ,598541.9701,13.87
002646.SZ,675220.3882,15.72
002647.SZ,329242.7502,6.47
002649.SZ,721056.243,15.24
002650.SZ,453873.3038,4.33
002651.SZ,399212.8651,7.81
002652.SZ,133505.865,2.87
002653.SZ,1193126.2129,27.53
002654.SZ,463550.1207,6.5
002655.SZ,430435.4067,13.16
